,Content ID,Reaction Type,Datetime,Content Type,Category,Score,Sentiment,  Each Category,Total Scores 
1213,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,super love,1/1/2021,GIF,studying,75,positive,,
1235,14ed7f7b-2c96-4458-8a39-606c25c14180,super love,24/12/20 13:08,video,tennis,75,positive,,
1248,c01fa154-5348-4040-9d20-0bbf01f6349b,super love,21/3/21 15:58,GIF,tennis,75,positive,,
1275,c01fa154-5348-4040-9d20-0bbf01f6349b,super love,11/12/2020,GIF,tennis,75,positive,,
1328,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,super love,3/9/2020,video,science,75,positive,,
1348,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,super love,26/10/20 19:54,video,science,75,negative,,
1354,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,super love,1/6/2021,video,science,75,positive,,
1365,e442899c-d2d6-4392-be2d-a0b916ae47fb,super love,12/11/2020,video,technology,75,negative,,
1383,e442899c-d2d6-4392-be2d-a0b916ae47fb,super love,17/12/20 14:19,video,technology,75,neutral,,
1409,82145a60-013e-4d96-81a5-399af8618158,super love,5/2/2021,audio,food,75,positive,,
1420,82145a60-013e-4d96-81a5-399af8618158,super love,16/10/20 22:38,audio,food,75,positive,,
1428,82145a60-013e-4d96-81a5-399af8618158,super love,21/7/20 3:32,audio,food,75,positive,,
1445,d852b946-01e1-44fe-abd7-26198660cbdb,super love,29/6/20 15:40,GIF,food,75,negative,,
1446,d852b946-01e1-44fe-abd7-26198660cbdb,super love,12/2/2021,GIF,food,75,negative,,
1454,78713905-362f-4a87-9671-adab5f1e0e67,super love,24/1/21 4:05,audio,dogs,75,negative,,
1499,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,super love,8/7/2020,GIF,healthy eating,75,negative,,
1501,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,super love,20/7/20 14:40,GIF,healthy eating,75,positive,,
1512,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,28/4/21 4:25,video,culture,75,positive,,
1520,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,3/9/2020,video,culture,75,positive,,
1530,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,1/6/2021,video,culture,75,positive,,
1560,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,27/6/20 6:28,GIF,soccer,75,negative,,
1561,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,12/4/2021,GIF,soccer,75,positive,,
1582,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,super love,2/8/2020,GIF,soccer,75,positive,,
1590,026973ef-4b73-4901-9160-bc9e04516057,super love,6/10/2020,audio,culture,75,positive,,
1616,026973ef-4b73-4901-9160-bc9e04516057,super love,22/9/20 20:24,audio,culture,75,negative,,
1634,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,22/8/20 6:23,audio,education,75,positive,,
1661,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,10/4/2021,audio,education,75,negative,,
1662,f08bdab2-b888-484e-8fd9-919e6ed86c12,super love,14/9/20 6:07,audio,education,75,positive,,
1671,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,5/11/2020,photo,education,75,positive,,
1673,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,17/1/21 14:50,photo,education,75,negative,,
1675,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,9/10/2020,photo,education,75,positive,,
1689,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,5/11/2020,photo,education,75,negative,,
1704,258bb775-3c35-4eec-90f3-8b75a52e466a,super love,22/6/20 11:05,photo,education,75,neutral,,
1716,8d32243c-2dd1-4128-bde1-d643207e582c,super love,12/9/2020,photo,studying,75,negative,,
1721,8d32243c-2dd1-4128-bde1-d643207e582c,super love,9/9/2020,photo,studying,75,positive,,
1733,8d32243c-2dd1-4128-bde1-d643207e582c,super love,16/3/21 17:01,photo,studying,75,negative,,
1787,e2c433d2-096e-484e-8c69-28f0bb69f3b7,super love,6/6/2021,audio,science,75,positive,,
1801,e2c433d2-096e-484e-8c69-28f0bb69f3b7,super love,6/9/2020,audio,science,75,neutral,,
1802,e2c433d2-096e-484e-8c69-28f0bb69f3b7,super love,13/7/20 23:05,audio,science,75,negative,,
1845,409aa11d-5af3-4a70-9da1-482857f5835e,super love,29/5/21 12:12,GIF,fitness,75,positive,,
1847,409aa11d-5af3-4a70-9da1-482857f5835e,super love,3/6/2021,GIF,fitness,75,positive,,
1874,eaddee3e-3a23-47cd-9785-ab7f2120a293,super love,17/9/20 15:53,video,science,75,positive,,
1934,9ef39aa2-60f9-4e4b-b666-c6cb97015503,super love,31/7/20 9:41,GIF,travel,75,positive,,
1942,9ef39aa2-60f9-4e4b-b666-c6cb97015503,super love,2/3/2021,GIF,travel,75,positive,,
1948,841403fd-321b-4118-90b3-cc0075d64047,super love,23/3/21 13:47,GIF,studying,75,positive,,
1987,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,31/8/20 15:49,video,culture,75,positive,,
1993,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,29/11/20 15:12,video,culture,75,neutral,,
2003,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,3/9/2020,video,culture,75,positive,,
2006,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,18/2/21 16:19,video,culture,75,negative,,
2007,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,25/1/21 3:22,video,culture,75,neutral,,
2018,2d0926be-9a29-4e6c-b342-815c70172214,super love,5/11/2020,GIF,animals,75,negative,,
2019,2d0926be-9a29-4e6c-b342-815c70172214,super love,18/12/20 17:17,GIF,animals,75,negative,,
2027,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,20/11/20 13:51,photo,science,75,positive,,
2041,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,22/7/20 22:20,photo,science,75,neutral,,
2059,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,26/8/20 17:24,photo,science,75,neutral,,
2070,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,super love,19/4/21 11:36,photo,science,75,positive,,
2134,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,21/6/20 20:35,video,healthy eating,75,positive,,
2137,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,22/4/21 9:20,video,healthy eating,75,positive,,
2146,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,22/8/20 5:37,video,healthy eating,75,positive,,
2149,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,10/11/2020,video,healthy eating,75,negative,,
2150,0adb9a94-210a-4e84-bca1-13db9452ff0e,super love,18/10/20 14:41,video,healthy eating,75,negative,,
2174,86346263-02db-4020-a216-9e54f502f643,super love,23/7/20 21:23,GIF,travel,75,positive,,
2210,86346263-02db-4020-a216-9e54f502f643,super love,24/11/20 2:43,GIF,travel,75,negative,,
2215,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,super love,2/3/2021,GIF,fitness,75,positive,,
2234,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,super love,5/1/2021,photo,studying,75,neutral,,
2265,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,super love,17/3/21 10:46,video,dogs,75,neutral,,
2290,9d94f180-947c-40f5-aa05-f1958759b7fc,super love,14/12/20 15:24,video,science,75,positive,,
2317,9d94f180-947c-40f5-aa05-f1958759b7fc,super love,3/10/2020,video,science,75,negative,,
2318,6ef45d36-cd14-428c-b5cf-ad2f06371c6e,super love,6/3/2021,GIF,cooking,75,positive,,
2349,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,super love,11/2/2021,GIF,culture,75,positive,,
2351,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,super love,11/12/2020,GIF,culture,75,negative,,
2372,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,super love,19/4/21 17:03,GIF,culture,75,positive,,
2392,fada6910-2cc5-4600-808c-1e6066f795a6,super love,9/11/2020,GIF,technology,75,negative,,
2453,c2d6e707-f00e-4fa4-a193-eb36272f58df,super love,7/9/2020,GIF,veganism,75,negative,,
2463,c2d6e707-f00e-4fa4-a193-eb36272f58df,super love,4/12/2020,GIF,veganism,75,positive,,
2492,af7971aa-5fd5-41d3-b6c3-583704a705a2,super love,27/11/20 0:18,video,healthy eating,75,negative,,
2499,af7971aa-5fd5-41d3-b6c3-583704a705a2,super love,13/9/20 14:39,video,healthy eating,75,positive,,
2501,af7971aa-5fd5-41d3-b6c3-583704a705a2,super love,19/4/21 13:37,video,healthy eating,75,positive,,
2522,6d6cf6a3-4187-44ec-af28-91c99b584bcf,super love,26/8/20 19:21,video,veganism,75,negative,,
2524,6d6cf6a3-4187-44ec-af28-91c99b584bcf,super love,17/10/20 18:29,video,veganism,75,negative,,
2547,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,super love,6/11/2020,video,healthy eating,75,neutral,,
2553,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,super love,19/3/21 6:36,video,healthy eating,75,positive,,
2556,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,super love,14/4/21 21:26,video,healthy eating,75,negative,,
2584,cd568dd1-70cf-45d6-b495-10eebff8c920,super love,20/6/20 4:46,photo,dogs,75,negative,,
2590,cd568dd1-70cf-45d6-b495-10eebff8c920,super love,8/2/2021,photo,dogs,75,positive,,
2608,cd568dd1-70cf-45d6-b495-10eebff8c920,super love,27/8/20 3:11,photo,dogs,75,positive,,
2620,cd568dd1-70cf-45d6-b495-10eebff8c920,super love,24/9/20 16:24,photo,dogs,75,positive,,
2625,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,super love,30/5/21 14:22,photo,travel,75,negative,,
2642,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,super love,28/9/20 17:39,photo,travel,75,negative,,
2651,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,super love,27/12/20 20:28,photo,travel,75,positive,,
2654,ef99fd68-74fb-4c72-bc70-742ebca14499,super love,8/5/2021,video,soccer,75,positive,,
2662,ef99fd68-74fb-4c72-bc70-742ebca14499,super love,27/3/21 20:29,video,soccer,75,positive,,
2698,62681a6c-fe82-4186-ba7d-0805ae5b95ed,super love,29/6/20 23:51,audio,veganism,75,positive,,
2701,62681a6c-fe82-4186-ba7d-0805ae5b95ed,super love,27/7/20 14:54,audio,veganism,75,positive,,
2719,ec8e2d25-5730-4753-a0a2-d1ed41e23623,super love,11/2/2021,video,healthy eating,75,negative,,
2774,67f2a150-6086-4cbd-8d21-46250ccef5a2,super love,5/12/2020,GIF,cooking,75,positive,,
2785,67f2a150-6086-4cbd-8d21-46250ccef5a2,super love,25/6/20 17:32,GIF,cooking,75,negative,,
2797,65545cfb-59bb-4dc1-a38b-82f268210da2,super love,21/5/21 2:46,audio,technology,75,positive,,
2815,65545cfb-59bb-4dc1-a38b-82f268210da2,super love,22/5/21 1:55,audio,technology,75,positive,,
2870,1000371f-7758-4c44-a1bc-41fd836b0bcb,super love,15/6/21 4:43,audio,studying,75,positive,,
2901,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,super love,5/10/2020,video,studying,75,positive,,
2902,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,super love,12/10/2020,video,studying,75,positive,,
2903,8e3896e3-2f84-4b47-9365-fb562c9ed730,super love,21/11/20 2:19,video,public speaking,75,positive,,
2920,8e3896e3-2f84-4b47-9365-fb562c9ed730,super love,8/9/2020,video,public speaking,75,negative,,
2929,8e3896e3-2f84-4b47-9365-fb562c9ed730,super love,1/2/2021,video,public speaking,75,positive,,
2939,8e3896e3-2f84-4b47-9365-fb562c9ed730,super love,9/5/2021,video,public speaking,75,neutral,,
2943,de9796a6-d19d-4c41-a965-7aa4dcc69fee,super love,24/2/21 15:16,audio,technology,75,negative,,
2963,de9796a6-d19d-4c41-a965-7aa4dcc69fee,super love,22/11/20 0:44,audio,technology,75,positive,,
2983,e4466189-0b96-4cc4-9d7d-d0f27b982548,super love,24/7/20 5:00,GIF,education,75,positive,,
2998,e4466189-0b96-4cc4-9d7d-d0f27b982548,super love,21/2/21 11:23,GIF,education,75,negative,,
3010,391a9aa4-c04a-431e-8366-712d92267c2b,super love,31/8/20 7:46,video,public speaking,75,positive,,
3030,391a9aa4-c04a-431e-8366-712d92267c2b,super love,30/1/21 16:59,video,public speaking,75,positive,,
3040,391a9aa4-c04a-431e-8366-712d92267c2b,super love,27/5/21 15:13,video,public speaking,75,positive,,
3051,e8edf506-36c9-43a7-a685-8b9f6467e4f9,super love,2/9/2020,video,studying,75,positive,,
3063,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,super love,15/6/21 3:54,photo,food,75,positive,,
3101,c7066a17-2e12-49d2-bb9e-c8967051f490,super love,16/1/21 6:37,GIF,public speaking,75,positive,,
3102,c7066a17-2e12-49d2-bb9e-c8967051f490,super love,6/10/2020,GIF,public speaking,75,positive,,
3122,c7066a17-2e12-49d2-bb9e-c8967051f490,super love,11/8/2020,GIF,public speaking,75,neutral,,
3129,f01ec49c-3179-43bb-b127-2b1a73f34b06,super love,30/11/20 0:57,photo,animals,75,negative,,
3133,f01ec49c-3179-43bb-b127-2b1a73f34b06,super love,27/9/20 21:02,photo,animals,75,positive,,
3170,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,super love,24/5/21 23:17,GIF,soccer,75,positive,,
3199,b6c24086-becf-4615-801e-c3c298a8d4e2,super love,17/8/20 3:37,photo,travel,75,neutral,,
3237,1beeffff-f261-435f-a109-6fafe46669d4,super love,9/11/2020,photo,public speaking,75,positive,,
3246,1beeffff-f261-435f-a109-6fafe46669d4,super love,8/10/2020,photo,public speaking,75,negative,,
3263,61e6650c-5068-4575-9aee-4217ef3dbdb1,super love,26/11/20 3:20,GIF,tennis,75,positive,,
3269,61e6650c-5068-4575-9aee-4217ef3dbdb1,super love,19/2/21 9:54,GIF,tennis,75,neutral,,
3302,2b6921de-e7f2-4e30-8feb-36bd41becaf0,super love,16/4/21 11:22,audio,travel,75,positive,,
3322,b56a9e24-d0f2-4599-b893-c2889a15e1d6,super love,23/10/20 21:01,video,veganism,75,positive,,
3325,b56a9e24-d0f2-4599-b893-c2889a15e1d6,super love,24/7/20 11:03,video,veganism,75,positive,,
3328,b56a9e24-d0f2-4599-b893-c2889a15e1d6,super love,20/4/21 12:13,video,veganism,75,neutral,,
3353,d706b190-216c-4103-9107-fb7304766d68,super love,17/2/21 0:09,video,cooking,75,negative,,
3364,d706b190-216c-4103-9107-fb7304766d68,super love,14/3/21 4:49,video,cooking,75,positive,,
3365,d706b190-216c-4103-9107-fb7304766d68,super love,28/3/21 11:06,video,cooking,75,positive,,
3382,d706b190-216c-4103-9107-fb7304766d68,super love,5/5/2021,video,cooking,75,positive,,
3403,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,super love,21/6/20 20:56,audio,tennis,75,positive,,
3411,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,super love,17/12/20 2:10,audio,tennis,75,positive,,
3417,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,super love,3/3/2021,audio,tennis,75,negative,,
3434,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,super love,23/11/20 13:22,audio,tennis,75,negative,,
3439,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,super love,16/7/20 6:39,audio,tennis,75,negative,,
3445,2c511a63-5eb5-422f-8483-c9fcf9a29b55,super love,23/7/20 4:14,GIF,technology,75,negative,,
3458,2c511a63-5eb5-422f-8483-c9fcf9a29b55,super love,14/11/20 23:27,GIF,technology,75,negative,,
3469,edc4a60a-b5ba-4178-b99e-9d34ed92599c,super love,16/10/20 23:55,audio,technology,75,positive,,
3496,edc4a60a-b5ba-4178-b99e-9d34ed92599c,super love,22/7/20 18:49,audio,technology,75,negative,,
3497,edc4a60a-b5ba-4178-b99e-9d34ed92599c,super love,25/8/20 12:23,audio,technology,75,positive,,
3501,edc4a60a-b5ba-4178-b99e-9d34ed92599c,super love,4/12/2020,audio,technology,75,positive,,
3511,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,3/3/2021,photo,animals,75,positive,,
3524,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,16/4/21 16:12,photo,animals,75,positive,,
3526,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,27/6/20 2:17,photo,animals,75,positive,,
3537,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,13/11/20 5:59,photo,animals,75,negative,,
3565,509a5fb0-9bb2-4809-9f90-18ae007acc94,super love,1/9/2020,video,dogs,75,positive,,
3570,509a5fb0-9bb2-4809-9f90-18ae007acc94,super love,21/5/21 16:24,video,dogs,75,neutral,,
3620,f1038e6c-5292-4e20-a866-675e1637d6b5,super love,7/5/2021,GIF,soccer,75,negative,,
3631,08cc29f3-a22d-4652-8f27-ff9e0a826289,super love,5/1/2021,photo,technology,75,positive,,
3632,08cc29f3-a22d-4652-8f27-ff9e0a826289,super love,30/10/20 11:17,photo,technology,75,negative,,
3650,a784c1dd-e2ab-408d-a0c3-226a51d420e1,super love,29/7/20 18:58,audio,technology,75,negative,,
3671,a784c1dd-e2ab-408d-a0c3-226a51d420e1,super love,7/9/2020,audio,technology,75,positive,,
3677,3a106d1f-3942-49d4-9358-417f33d760c6,super love,13/5/21 7:51,photo,fitness,75,positive,,
3692,3a106d1f-3942-49d4-9358-417f33d760c6,super love,30/4/21 2:38,photo,fitness,75,negative,,
3694,3a106d1f-3942-49d4-9358-417f33d760c6,super love,30/9/20 14:38,photo,fitness,75,positive,,
3699,3a106d1f-3942-49d4-9358-417f33d760c6,super love,19/7/20 10:14,photo,fitness,75,positive,,
3714,5bb364a6-8646-4cdb-b1cf-09f4125718d8,super love,3/9/2020,audio,soccer,75,positive,,
3717,5bb364a6-8646-4cdb-b1cf-09f4125718d8,super love,21/8/20 3:58,audio,soccer,75,positive,,
3731,5bb364a6-8646-4cdb-b1cf-09f4125718d8,super love,4/8/2020,audio,soccer,75,negative,,
3766,dd2f8912-9b97-40cb-ac5f-215f98d4d733,super love,10/6/2021,GIF,fitness,75,positive,,
3774,dd2f8912-9b97-40cb-ac5f-215f98d4d733,super love,21/8/20 20:13,GIF,fitness,75,neutral,,
3801,de95cdb1-a85a-40de-8467-892e2d1481af,super love,13/2/21 13:18,video,education,75,positive,,
3917,5651450a-d330-46e6-bac9-c7c7e7defaf2,super love,12/2/2021,photo,animals,75,positive,,
3921,5651450a-d330-46e6-bac9-c7c7e7defaf2,super love,10/9/2020,photo,animals,75,positive,,
3939,a72552ac-cad2-4707-8bc6-dea84a5ab72b,super love,27/8/20 6:32,audio,studying,75,negative,,
3956,2eb7feec-26a4-4949-8470-3e66c16536e9,super love,8/11/2020,video,tennis,75,positive,,
3969,0d3d0a35-f806-4536-8733-abf1f92763e2,super love,7/11/2020,GIF,studying,75,positive,,
3976,0d3d0a35-f806-4536-8733-abf1f92763e2,super love,6/7/2020,GIF,studying,75,positive,,
3984,0d3d0a35-f806-4536-8733-abf1f92763e2,super love,5/8/2020,GIF,studying,75,negative,,
3987,0d3d0a35-f806-4536-8733-abf1f92763e2,super love,28/11/20 12:54,GIF,studying,75,positive,,
3994,0d3d0a35-f806-4536-8733-abf1f92763e2,super love,3/11/2020,GIF,studying,75,negative,,
4002,f783f128-6f66-4ef3-a190-5afc29d17012,super love,22/2/21 23:55,GIF,tennis,75,positive,,
4010,f783f128-6f66-4ef3-a190-5afc29d17012,super love,10/12/2020,GIF,tennis,75,negative,,
4025,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,super love,11/2/2021,video,cooking,75,positive,,
4026,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,super love,6/7/2020,video,cooking,75,positive,,
4033,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,super love,24/4/21 1:34,video,cooking,75,positive,,
4054,6e418568-a2b9-4d08-b241-06362c96a7f1,super love,14/10/20 15:17,video,food,75,positive,,
4086,93c0f4f6-8c1e-453e-8df0-3015b1e76376,super love,18/9/20 4:29,video,technology,75,negative,,
4097,93c0f4f6-8c1e-453e-8df0-3015b1e76376,super love,6/2/2021,video,technology,75,neutral,,
